state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
OR,157,510,no,yes,30,,107,33.03,243.2,108,20.67,,114,14.5,7.1,5,1.92,1.0,False
RI,111,415,no,no,0,,107,39.0,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4.0,False
IN,101,415,no,yes,42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,,0.0,False
MI,61,415,no,no,0,,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2.0,False
OK,89,510,no,no,0,,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1.0,True
WV,145,415,no,no,0,129.4,97,22.0,185.4,101,15.76,,106,9.21,1.1,2,0.3,2.0,False
ID,99,408,no,no,0,,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1.0,False
ID,92,415,no,yes,29,,130,34.22,203.7,115,17.31,129.9,113,5.85,6.4,6,,1.0,True
NV,88,415,no,no,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,,4.0,True
PA,119,408,no,no,0,,101,44.22,256.5,68,21.8,,89,10.31,10.0,2,2.7,1.0,True
LA,150,415,no,no,0,,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4.0,True
KY,54,408,no,no,0,,99,27.17,264.0,64,22.44,,70,5.21,9.7,7,2.62,2.0,False
RI,85,415,yes,no,0,,97,33.52,211.7,115,17.99,210.1,133,9.45,8.3,4,2.24,4.0,False
NE,82,408,no,no,0,,36,31.59,276.5,134,23.5,,104,8.64,5.7,7,1.54,4.0,False
SD,163,415,yes,no,0,,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,,1.0,False
NJ,156,408,no,yes,27,,137,32.69,199.9,115,16.99,244.2,112,10.99,14.8,8,4.0,1.0,False
WI,105,408,no,no,0,,103,25.11,222.7,78,18.93,163.5,102,7.36,12.8,3,3.46,2.0,False
AZ,100,415,no,no,0,,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2.0,False
KS,117,510,no,yes,25,,140,36.72,224.1,69,19.05,,112,12.06,11.8,4,,0.0,False
UT,157,408,no,no,0,,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3.0,False
OK,117,415,no,yes,31,,115,17.83,237.6,125,20.2,263.4,104,11.85,7.7,6,2.08,3.0,False
DC,74,415,no,no,0,,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2.0,False
