account length,number vmail messages,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,area code,state_East NC,state_East SC,state_Mid Atlantic,state_Mountain,state_New England,state_Others,state_Pacific,state_South Atlantic,state_West NC,state_West SC,international plan_no,international plan_yes,voice mail plan_no,voice mail plan_yes
101.0,42.0,82.0,35.56,159.7,74.0,13.57,181.6,100.0,8.17,9.5,3.0,2.7719679849340864,0.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
61.0,0.0,105.0,32.11,153.6,116.0,13.06,213.3,106.0,9.6,10.2,2.0,2.75,2.0,415,1,0,0,0,0,0,0,0,0,0,1,0,1,0
99.0,0.0,83.0,27.15,155.4,121.0,13.21,255.7,114.0,11.51,8.4,3.0,2.27,1.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
92.0,29.0,130.0,34.22,203.7,115.0,17.31,129.9,113.0,5.85,6.4,6.0,2.7719679849340864,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,0,1
119.0,0.0,101.0,44.22,256.5,68.0,21.8,200.87398513436247,89.0,10.31,10.0,2.0,2.7,1.0,408,0,0,1,0,0,0,0,0,0,0,1,0,1,0
54.0,0.0,99.0,27.17,264.0,64.0,22.44,200.87398513436247,70.0,5.21,9.7,7.0,2.62,2.0,408,0,1,0,0,0,0,0,0,0,0,1,0,1,0
163.0,0.0,90.0,33.52,188.5,113.0,16.02,211.1,94.0,9.5,7.8,8.0,2.7719679849340864,1.0,415,0,0,0,0,0,0,0,0,1,0,0,1,1,0
156.0,27.0,137.0,32.69,199.9,115.0,16.99,244.2,112.0,10.99,14.8,8.0,4.0,1.0,408,0,0,1,0,0,0,0,0,0,0,1,0,0,1
105.0,0.0,103.0,25.11,222.7,78.0,18.93,163.5,102.0,7.36,12.8,3.0,3.46,2.0,408,1,0,0,0,0,0,0,0,0,0,1,0,1,0
100.0,0.0,152.0,32.05,148.3,115.0,12.61,179.8,88.0,8.09,15.2,5.0,4.1,2.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
117.0,25.0,140.0,36.72,224.1,69.0,19.05,200.87398513436247,112.0,12.06,11.8,4.0,2.7719679849340864,0.0,510,0,0,0,0,0,0,0,0,1,0,1,0,0,1
157.0,0.0,90.0,39.07,147.9,121.0,12.57,241.4,108.0,10.86,9.6,7.0,2.59,3.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
